Frame, ARM-time(s), ARM-fps, FPGA-time(s), FPGA-fps
50, 8.024973154, 6.230550438, 0.821577311, 60.85854533
50, 7.99996233, 6.25002943, 0.823753595, 60.69776239
50, 7.998621464, 6.251077167, 0.82895875, 60.31663218
50, 7.993776083, 6.254866221, 0.822452068, 60.79381635
50, 8.000727654, 6.249431572, 0.821060658, 60.89684062
200, 32.04833198, 6.240574397, 3.320029736, 60.24042431
200, 31.9667685, 6.256497274, 3.321809292, 60.20815237
200, 31.97968745, 6.253969814, 3.329262733, 60.07336038
200, 31.99306297, 6.251355182, 3.325505972, 60.14122413
200, 31.96172857, 6.257483839, 3.331018209, 60.04170119
